Artists,Title,Song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Highwaymen,Highwayman,spotify:track:7jWbXvrgdbkajU8L28ahn5,0.67,0.351,2,-16.842,1,0.0463,0.48,0.0176,0.115,0.45,101.384,audio_features,7jWbXvrgdbkajU8L28ahn5,spotify:track:7jWbXvrgdbkajU8L28ahn5,https://api.spotify.com/v1/tracks/7jWbXvrgdbkajU8L28ahn5,https://api.spotify.com/v1/audio-analysis/7jWbXvrgdbkajU8L28ahn5,182653,4
The Jesus Lizard,Goat (Remaster / Reissue),spotify:track:0javu4aPWbHqwgAkJrAsVl,0.364,0.839,0,-8.689,1,0.0592,8.29e-06,0.74,0.187,0.661,155.931,audio_features,0javu4aPWbHqwgAkJrAsVl,spotify:track:0javu4aPWbHqwgAkJrAsVl,https://api.spotify.com/v1/tracks/0javu4aPWbHqwgAkJrAsVl,https://api.spotify.com/v1/audio-analysis/0javu4aPWbHqwgAkJrAsVl,150587,4
The Jesus and Mary Chain,Darklands (Expanded Version),spotify:track:6zwg7gXiJJh7LlAtsmRwTF,0.555,0.719,9,-6.884,1,0.0283,0.0706,0.000307,0.08,0.589,113.302,audio_features,6zwg7gXiJJh7LlAtsmRwTF,spotify:track:6zwg7gXiJJh7LlAtsmRwTF,https://api.spotify.com/v1/tracks/6zwg7gXiJJh7LlAtsmRwTF,https://api.spotify.com/v1/audio-analysis/6zwg7gXiJJh7LlAtsmRwTF,198400,4
Iron Maiden,The Number of the Beast (2015 Remaster),spotify:track:3nlGByvetDcS1uomAoiBmy,0.409,0.89,0,-6.839,1,0.0558,0.088,0.107,0.0935,0.268,100.409,audio_features,3nlGByvetDcS1uomAoiBmy,spotify:track:3nlGByvetDcS1uomAoiBmy,https://api.spotify.com/v1/tracks/3nlGByvetDcS1uomAoiBmy,https://api.spotify.com/v1/audio-analysis/3nlGByvetDcS1uomAoiBmy,290587,4
Iron Maiden,The Number of the Beast (2015 Remaster),spotify:track:469rBLYJUZHMJLtq2Wch3h,0.313,0.882,0,-6.215,1,0.0355,0.0346,0.338,0.45,0.3,103.981,audio_features,469rBLYJUZHMJLtq2Wch3h,spotify:track:469rBLYJUZHMJLtq2Wch3h,https://api.spotify.com/v1/tracks/469rBLYJUZHMJLtq2Wch3h,https://api.spotify.com/v1/audio-analysis/469rBLYJUZHMJLtq2Wch3h,431093,4
Iron Maiden,Piece of Mind (2015 Remaster),spotify:track:4OROzZUy6gOWN4UGQVaZMF,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,audio_features,4OROzZUy6gOWN4UGQVaZMF,spotify:track:4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/tracks/4OROzZUy6gOWN4UGQVaZMF,https://api.spotify.com/v1/audio-analysis/4OROzZUy6gOWN4UGQVaZMF,252733,4
Iron Maiden,The Number of the Beast (2015 Remaster),spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,0.458,173.671,audio_features,4Zc7TCHzuNwL0AFBlyLdyr,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/tracks/4Zc7TCHzuNwL0AFBlyLdyr,https://api.spotify.com/v1/audio-analysis/4Zc7TCHzuNwL0AFBlyLdyr,233507,4
Idlewild,Hope Is Important,spotify:track:3uIWkspWMEBQJZuFSqBtOk,0.395,0.92,10,-8.675,0,0.102,4.62e-05,0.0441,0.0591,0.404,119.312,audio_features,3uIWkspWMEBQJZuFSqBtOk,spotify:track:3uIWkspWMEBQJZuFSqBtOk,https://api.spotify.com/v1/tracks/3uIWkspWMEBQJZuFSqBtOk,https://api.spotify.com/v1/audio-analysis/3uIWkspWMEBQJZuFSqBtOk,332627,4
Most Precious Blood,Our Lady of Annihilation,spotify:track:0JFP06JzPIzFiRrwweknHe,0.25,0.991,7,-3.738,1,0.164,1.86e-05,0.905,0.145,0.0624,90.069,audio_features,0JFP06JzPIzFiRrwweknHe,spotify:track:0JFP06JzPIzFiRrwweknHe,https://api.spotify.com/v1/tracks/0JFP06JzPIzFiRrwweknHe,https://api.spotify.com/v1/audio-analysis/0JFP06JzPIzFiRrwweknHe,174307,4
Hot Snakes,Audit in Progress,spotify:track:7y2LhVots1tNKhNurr45cf,0.382,0.979,2,-5.091,1,0.0833,9.14e-06,0.436,0.388,0.368,144.766,audio_features,7y2LhVots1tNKhNurr45cf,spotify:track:7y2LhVots1tNKhNurr45cf,https://api.spotify.com/v1/tracks/7y2LhVots1tNKhNurr45cf,https://api.spotify.com/v1/audio-analysis/7y2LhVots1tNKhNurr45cf,161320,4
Hot Snakes,Audit in Progress,spotify:track:6L6DKiYfvym103SInPOoiz,0.366,0.99,11,-3.935,0,0.0775,8.82e-06,0.00641,0.0934,0.614,146.609,audio_features,6L6DKiYfvym103SInPOoiz,spotify:track:6L6DKiYfvym103SInPOoiz,https://api.spotify.com/v1/tracks/6L6DKiYfvym103SInPOoiz,https://api.spotify.com/v1/audio-analysis/6L6DKiYfvym103SInPOoiz,119147,4
Funeral Mist,Maranatha,spotify:track:3cfnFL7EykdIemEPG2fmnu,0.095,0.993,4,-4.962,0,0.385,0.0013,0.838,0.0784,0.0242,86.345,audio_features,3cfnFL7EykdIemEPG2fmnu,spotify:track:3cfnFL7EykdIemEPG2fmnu,https://api.spotify.com/v1/tracks/3cfnFL7EykdIemEPG2fmnu,https://api.spotify.com/v1/audio-analysis/3cfnFL7EykdIemEPG2fmnu,273773,3
Hot Water Music,No Division (Expanded Edition),spotify:track:0DMVsQ1gQ9FWd1TFPv7UWU,0.524,0.84,4,-5.479,1,0.139,0.0232,1.86e-05,0.166,0.84,80.132,audio_features,0DMVsQ1gQ9FWd1TFPv7UWU,spotify:track:0DMVsQ1gQ9FWd1TFPv7UWU,https://api.spotify.com/v1/tracks/0DMVsQ1gQ9FWd1TFPv7UWU,https://api.spotify.com/v1/audio-analysis/0DMVsQ1gQ9FWd1TFPv7UWU,208693,4
Hot Water Music,Fuel For The Hate Game (Expanded Edition),spotify:track:3Kkti9uu9pQkUY2pOHOiB9,0.233,0.961,2,-5.604,1,0.119,0.0438,1e-06,0.251,0.105,172.791,audio_features,3Kkti9uu9pQkUY2pOHOiB9,spotify:track:3Kkti9uu9pQkUY2pOHOiB9,https://api.spotify.com/v1/tracks/3Kkti9uu9pQkUY2pOHOiB9,https://api.spotify.com/v1/audio-analysis/3Kkti9uu9pQkUY2pOHOiB9,207987,4
Hot Chip,The Warning,spotify:track:3RCj5fG55qjtmnEML1gpnA,0.774,0.794,5,-4.446,0,0.0358,0.00824,0.00317,0.08,0.724,120.002,audio_features,3RCj5fG55qjtmnEML1gpnA,spotify:track:3RCj5fG55qjtmnEML1gpnA,https://api.spotify.com/v1/tracks/3RCj5fG55qjtmnEML1gpnA,https://api.spotify.com/v1/audio-analysis/3RCj5fG55qjtmnEML1gpnA,347880,4
Hollywood Burns,First Contact EP,spotify:track:0tEGjTF49ToRsYFOpFVKf9,0.473,0.909,2,-2.09,0,0.052,0.000791,0.0401,0.28,0.288,130.022,audio_features,0tEGjTF49ToRsYFOpFVKf9,spotify:track:0tEGjTF49ToRsYFOpFVKf9,https://api.spotify.com/v1/tracks/0tEGjTF49ToRsYFOpFVKf9,https://api.spotify.com/v1/audio-analysis/0tEGjTF49ToRsYFOpFVKf9,316826,4
Hayden,Everything I Long for (20th Anniversary Edition),spotify:track:6C7iODxmXNIvCGGhRRHr48,0.47,0.341,0,-10.839,1,0.0252,0.318,1.21e-05,0.15,0.33,71.313,audio_features,6C7iODxmXNIvCGGhRRHr48,spotify:track:6C7iODxmXNIvCGGhRRHr48,https://api.spotify.com/v1/tracks/6C7iODxmXNIvCGGhRRHr48,https://api.spotify.com/v1/audio-analysis/6C7iODxmXNIvCGGhRRHr48,210454,4
Handsome Furs,Plague Park,spotify:track:13WQUX5Ux0djoD4EJu6r0c,0.487,0.647,7,-7.414,0,0.0254,0.0857,0.0988,0.239,0.553,83.977,audio_features,13WQUX5Ux0djoD4EJu6r0c,spotify:track:13WQUX5Ux0djoD4EJu6r0c,https://api.spotify.com/v1/tracks/13WQUX5Ux0djoD4EJu6r0c,https://api.spotify.com/v1/audio-analysis/13WQUX5Ux0djoD4EJu6r0c,236587,4
Hammers of Misfortune,Dead Revolution,spotify:track:1ROuvwFsijqf1mxmzqodpa,0.193,0.928,2,-5.703,1,0.0886,0.000262,0.00812,0.162,0.35,169.304,audio_features,1ROuvwFsijqf1mxmzqodpa,spotify:track:1ROuvwFsijqf1mxmzqodpa,https://api.spotify.com/v1/tracks/1ROuvwFsijqf1mxmzqodpa,https://api.spotify.com/v1/audio-analysis/1ROuvwFsijqf1mxmzqodpa,446137,4
Hammers of Misfortune,The Bastard,spotify:track:1XuC1M8KNXXyOzhy7nkLct,0.27,0.991,8,-4.02,0,0.422,6.5e-06,0.0134,0.183,0.0687,73.5,audio_features,1XuC1M8KNXXyOzhy7nkLct,spotify:track:1XuC1M8KNXXyOzhy7nkLct,https://api.spotify.com/v1/tracks/1XuC1M8KNXXyOzhy7nkLct,https://api.spotify.com/v1/audio-analysis/1XuC1M8KNXXyOzhy7nkLct,149293,4
Guided By Voices,Do The Collapse,spotify:track:1uIsJdRjJ1G2GEWZFjtpKq,0.52,0.504,4,-6.713,1,0.0247,0.11,0,0.144,0.164,82.366,audio_features,1uIsJdRjJ1G2GEWZFjtpKq,spotify:track:1uIsJdRjJ1G2GEWZFjtpKq,https://api.spotify.com/v1/tracks/1uIsJdRjJ1G2GEWZFjtpKq,https://api.spotify.com/v1/audio-analysis/1uIsJdRjJ1G2GEWZFjtpKq,211067,4
Guided By Voices,Isolation Drills,spotify:track:4tdSZ5mUFxFdyydefRxDnb,0.4,0.77,4,-4.677,1,0.0361,0.00434,0.000967,0.137,0.398,126.893,audio_features,4tdSZ5mUFxFdyydefRxDnb,spotify:track:4tdSZ5mUFxFdyydefRxDnb,https://api.spotify.com/v1/tracks/4tdSZ5mUFxFdyydefRxDnb,https://api.spotify.com/v1/audio-analysis/4tdSZ5mUFxFdyydefRxDnb,187933,4
Guided By Voices,Isolation Drills,spotify:track:5WObgJ0xxQ3Tr1k4oxryoZ,0.485,0.952,0,-4.442,1,0.0583,0.000276,3.26e-05,0.307,0.479,125.951,audio_features,5WObgJ0xxQ3Tr1k4oxryoZ,spotify:track:5WObgJ0xxQ3Tr1k4oxryoZ,https://api.spotify.com/v1/tracks/5WObgJ0xxQ3Tr1k4oxryoZ,https://api.spotify.com/v1/audio-analysis/5WObgJ0xxQ3Tr1k4oxryoZ,173493,4
Guided By Voices,Bee Thousand,spotify:track:0kSxRxxiI1Vaiispzszvf0,0.443,0.889,1,-11.578,1,0.0426,0.0801,1.04e-05,0.146,0.359,132.162,audio_features,0kSxRxxiI1Vaiispzszvf0,spotify:track:0kSxRxxiI1Vaiispzszvf0,https://api.spotify.com/v1/tracks/0kSxRxxiI1Vaiispzszvf0,https://api.spotify.com/v1/audio-analysis/0kSxRxxiI1Vaiispzszvf0,162293,4
Guided By Voices,Bee Thousand,spotify:track:4dftKNQqg8kWquNuDd6CDe,0.336,0.626,9,-9.82,1,0.0353,0.0461,0.741,0.363,0.682,113.313,audio_features,4dftKNQqg8kWquNuDd6CDe,spotify:track:4dftKNQqg8kWquNuDd6CDe,https://api.spotify.com/v1/tracks/4dftKNQqg8kWquNuDd6CDe,https://api.spotify.com/v1/audio-analysis/4dftKNQqg8kWquNuDd6CDe,184840,4
